EmployeeID,FullName,Email,Password,PhoneNumber,SSN,DateOfBirth,Address,JobTitle,Department,StartDate,Salary
1,Shawn Young,smithlawrence@example.net,po6rQ+Df*W)0,(617)649-6807x88096,156-15-6170,1988-09-23,"61127 Harper Mission Suite 463, East Stephanie, NV 02072",Office manager,HR,2018-07-12,133918
2,Sean Wood,erica45@example.org,)a&5dbrPq8Vd,001-315-860-3704x137,432-41-7758,1983-12-23,"90611 Richardson Lock, Lake Lesliestad, MT 76001","Administrator, charities/voluntary organisations",Marketing,2019-02-28,78408
3,Carlos Carpenter,qmerritt@example.com,*b7TQJMvZ2Ti,001-738-235-2101x19426,389-67-5250,1987-11-16,"6799 Bradley Squares Suite 797, Kennethside, NH 85454",Ecologist,Engineering,2023-02-28,55339
4,Daniel Stewart,pbrown@example.net,9n+q5N^n*iM%,(872)711-5123x200,033-44-5245,1970-03-10,"9856 Scott Shores Suite 134, East Andreafurt, DC 80460",Retail manager,Marketing,2020-01-11,97422
5,Timothy Patel,buckleymark@example.net,)Y&QpbkGuP95,764.385.7297x407,330-98-3723,1973-11-06,"09511 Colton Ways, North Joshuaport, MT 83020",Patent attorney,Engineering,2017-05-15,111186
6,Christopher Burton,paulmartinez@example.com,@@a9_Yk9l3Cs,228-403-5494,465-02-2702,1995-05-22,"693 Lauren Knolls Suite 171, South Tyroneberg, SC 38092",Company secretary,HR,2017-01-18,67987
7,Donald Carter,pbell@example.org,5@FOiSdEgi8W,(915)315-4942,062-17-8637,1979-04-07,"939 Barry Way Suite 624, Timothymouth, AS 94798","Civil engineer, contracting",HR,2016-12-15,75718
8,Jesse Rhodes,carlsonbelinda@example.com,5a6NjgmSUKi!,275-326-5694,793-02-0356,1977-11-03,"10167 Crawford Roads Suite 401, Port John, KS 78721","Radiographer, diagnostic",Finance,2018-07-27,95494
9,Tracy Christensen,dennislopez@example.com,*24Bpwuk@r91,(737)970-7477x870,491-18-5873,1996-05-05,"43859 Schwartz Trail Apt. 051, Hamiltontown, MH 90968",Science writer,Finance,2021-04-26,55632
10,Dawn Sanchez,vserrano@example.com,@vYKwU5z_V8f,5438189900,788-77-2048,1974-06-17,"86147 Phillip Squares, Smithburgh, KY 14279",Medical physicist,Marketing,2016-02-01,114675
11,Derrick Sparks,gardnerrebecca@example.net,%d!8vZkJ4pIW,(997)328-8701x0112,017-55-7018,1989-01-14,"427 Bray Alley, Smithberg, PR 94206","Surveyor, planning and development",HR,2020-05-16,77010
12,Ryan Cole,martinezgabrielle@example.com,@z&T5!Gm9s4X,+1-821-609-7475x10354,588-61-1659,1974-03-03,"1357 Caitlyn Knolls Apt. 293, New Ethanburgh, AK 32174",Web designer,Engineering,2016-07-25,119786
